iso,country,eur_per_sqm,basis
AT,Austria,4457,"transaction, new"
BE,Belgium,2684,"bid, new"
CZ,Czechia,2822,"transaction, new"
DK,Denmark,3244,"transaction, new"
FR,France,4421,"transaction, new"
DE,Germany,4100,"bid, new"
HU,Hungary,1657,"transaction, new"
IE,Ireland,2713,"transaction, new"
IT,Italy,2285,"transaction, new"
NL,Netherlands,2952,"transaction, older"
NO,Norway,3956,"transaction, new, detached houses"
PL,Poland,1581,"transaction, new"
PT,Portugal,1260,"transaction, new"
RO,Romania,1332,"transaction, new"
ES,Spain,2546,"transaction, new"
GB,United Kingdom,4058,"transaction, new"
