DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,1999-S2,45,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2000-S1,47,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2000-S2,52,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2001-S1,53,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2001-S2,60,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2002-S1,63,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2002-S2,68,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2003-S1,67,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2003-S2,74,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2004-S1,75,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2004-S2,88,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2005-S1,85,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2005-S2,95,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2006-S1,96,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2006-S2,114,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2007-S1,113,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2007-S2,115,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2008-S1,131,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2008-S2,139,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2009-S1,137,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2009-S2,138,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2010-S1,130,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2010-S2,139,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2011-S1,137,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2011-S2,141,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2012-S1,144,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2012-S2,152,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2013-S1,150,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2013-S2,156,,
ESTAT:EARN_MW_CUR(1.0),31/07/26 11:00:00,S,EUR,AL,2014-S1,157,,
