DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2015,97.14,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2016,89.36,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2017,93.34,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2018,94.08,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2019,98.29,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2020,99.94,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2021,104.89,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2022,92.15,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2023,74.85,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2024,83.73,p,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,AT,2025,100.00,ep,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2010,74.57,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2011,82.35,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2012,80.01,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2013,77.89,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2014,87.89,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2015,65.50,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2016,77.84,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2017,83.55,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2018,87.92,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2019,100.74,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2020,82.95,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2021,98.40,,
ESTAT:PRC_HPI_HSNA(1.0),02/07/26 11:00:00,A,DW_EXST,I25_A_AVG,BE,2022,100.14,,
