DATAFLOW,LAST UPDATE,freq,unit,geo,purchase,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2015,8731532864,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2016,8347618823,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2017,9294997953,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2018,9984663943,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2019,11079718853,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2020,12180418207,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2021,14497829592,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2022,13547036081,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2023,10572964975,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2024,12139259629,p,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_EXST,2025,14760525069,ep,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2015,3231079419,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2016,3458128479,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2017,3746801156,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2018,4071636783,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2019,5377611720,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2020,6475095478,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2021,7598871198,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2022,6112755463,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2023,2969264747,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2024,3170236729,p,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,DW_NEW,2025,4272202898,ep,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2010,8345319841,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2011,8943396586,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2012,9440644606,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2013,9349945409,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2014,12080605937,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2015,11962612282,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2016,11805747302,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2017,13041799109,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2018,14056300727,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2019,16457330573,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2020,18655513685,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2021,22096700790,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2022,19659791545,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2023,13542229722,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2024,15309496357,p,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,AT,TOTAL,2025,19032727968,ep,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2010,21572699417,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2011,24536459273,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2012,24322723850,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2013,24227928850,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2014,27407165280,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2015,21832536502,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2016,26979690464,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2017,29654517778,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2018,32170264075,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2019,38905306431,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2020,33723782980,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2021,43154515257,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2022,46500200338,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2023,39696526110,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2024,40219465536,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,DW_EXST,2025,50990019654,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2005,24346251049,e,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2006,26759323267,e,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2007,29155112679,e,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2008,29162558375,e,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2009,27032357576,e,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2010,21572699417,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2011,24536459273,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2012,24322723850,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2013,24227928850,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2014,27407165280,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2015,21832536502,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2016,26979690464,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2017,29654517778,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2018,32170264075,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2019,38905306431,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2020,33723782980,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2021,43154515257,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2022,46500200338,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2023,39696526110,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2024,40219465536,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BE,TOTAL,2025,50990019654,d,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2017,1329062550,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2018,1459252729,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2019,1624206362,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2020,1435946723,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2021,2328621994,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2022,2643276282,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2023,2850838288,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2024,3539953761,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_EXST,2025,3963411614,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2017,759856072,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2018,815536037,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2019,972718882,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2020,1018177070,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2021,1390635245,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2022,1697053839,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2023,1646288660,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2024,2309910679,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,DW_NEW,2025,2689602338,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2006,2021187936,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2007,1708975218,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2008,2309569339,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2009,1976016832,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2010,1184023151,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2011,1540802626,,
ESTAT:PRC_HPI_HSVA(1.0),09/07/26 23:00:00,A,EUR,BG,TOTAL,2012,1259623791,,
