STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PAY_PERIOD,Pay period,PRICE_BASE,Price base,AGGREGATION_OPERATION,Aggregation operation,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1960,,504.39,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1961,,521.7,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1962,,547.76,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1963,,592.8,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1964,,603.24,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1965,,627.46,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1966,,649.98,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1967,,676.02,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1968,,854.5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1969,,1003.62,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1970,,1078.1,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1971,,1192.47,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1972,,1331.2,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1973,,1570.35,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1974,,1936.08,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1975,,2308.76,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1976,,2645.03,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1977,,2976.07,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1978,,3360.84,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1979,,3780.31,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1980,,4373.11,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1981,,5166.96,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1982,,6076.97,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1983,,6811.87,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1984,,7453.2,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1985,,7928.2,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1986,,8196.5,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_EARNINGS@MW_CURP(1.0),Minimum wages at current prices in national currency units (NCU),I,FRA,France,SM_WG,Statutory minimum wages,EUR,Euro,A,Annual,V,Current prices,_Z,Not applicable,_Z,Not applicable,1987,,8524.36,,,,A,Normal value,0,Units,1,One
